Minute;lane_id;n_vehicles;avg_speed_kmh
1;1;18;5,49
1;2;26;11,16
1;3;21;10,37
1;4;17;15,93
1;5;9;19,65
2;1;5;10,2
2;2;7;9,51
2;3;13;51,68
2;4;20;54,37
2;5;20;37,83
3;1;0;4,16
3;2;2;7,05
3;3;3;9,67
3;4;7;16,5
3;5;12;17,9
