lane_id,p1_x,p1_y,p2_x,p2_y,p3_x,p3_y,p4_x,p4_y
1,790,104,885,368,854,368,766,104
2,765,104,854,368,822,368,746,104
3,746,104,820,368,796,368,724,104
4,723,102,794,364,765,364,702,99
5,700,102,764,364,694,362,652,99
