vehicle_id,label,avg_speed_kmh,start_frame,end_frame,start_time_s,end_time_s
138,van,20.4,14316,15153,238.6,252.55
150,motor,30.8,15155,15157,252.583,252.617
151,van,7.3,15157,15170,252.617,252.833
153,motor,27.5,15169,15173,252.817,252.883
154,motor,49.6,15177,15195,252.95,253.25
155,motor,16.5,15211,15213,253.517,253.55
131,van,24.0,13251,15279,220.85,254.65
136,tricycle,2.3,13915,14519,231.917,241.983
139,van,23.5,14358,15446,239.3,257.433
157,van,27.8,15249,15537,254.15,258.95
133,bus,5.0,13603,14682,226.717,244.7
161,van,5.0,15579,15581,259.65,259.683
160,van,31.8,15545,15631,259.083,260.517
143,van,23.6,14740,15723,245.667,262.05
163,van,32.0,15673,15746,261.217,262.433
162,van,35.9,15659,15803,260.983,263.383
158,van,22.8,15275,15843,254.583,264.05
165,van,35.3,15787,15917,263.117,265.283
168,motor,46.0,15945,15991,265.75,266.517
159,van,24.3,15515,16005,258.583,266.75
171,motor,80.6,16003,16015,266.717,266.917
173,motor,66.2,16017,16056,266.95,267.6
174,motor,49.7,16029,16122,267.15,268.7
178,motor,68.0,16072,16128,267.867,268.8
164,van,25.2,15715,16160,261.917,269.333
182,motor,43.3,16154,16160,269.233,269.333
187,motor,63.2,16190,16226,269.833,270.433
167,van,19.7,15891,16365,264.85,272.75
189,tricycle,0.4,16428,16452,273.8,274.2
175,van,25.3,16035,16496,267.25,274.933
191,motor,14.4,16499,16502,274.983,275.033
192,motor,42.6,16504,16550,275.067,275.833
193,van,30.3,16580,16664,276.333,277.733
195,motor,0.1,16608,16665,276.8,277.75
188,car,27.4,16367,16710,272.783,278.5
194,motor,30.6,16582,16714,276.367,278.567
190,car,31.6,16492,16814,274.867,280.233
196,car,26.2,16684,16854,278.067,280.9
197,van,32.9,16712,17026,278.533,283.767
198,motor,0.4,17103,17159,285.05,285.983
199,van,33.5,17239,17507,287.317,291.783
200,van,46.9,17659,17863,294.317,297.717
201,car,32.9,17725,17961,295.417,299.35
202,van,43.4,18226,18288,303.767,304.8
205,motor,38.4,19057,19107,317.617,318.45
206,motor,30.9,19127,19149,318.783,319.15
207,motor,22.0,19159,19364,319.317,322.733
208,motor,6.5,19397,19399,323.283,323.317
209,motor,13.7,19433,19471,323.883,324.517
204,motor,0.5,18552,18633,309.2,310.55
215,motor,0.1,20540,20588,342.333,343.133
211,motor,0.4,19541,19765,325.683,329.417
210,van,11.6,19455,20734,324.25,345.567
212,van,14.2,19585,20872,326.417,347.867
216,motor,0.1,20898,20904,348.3,348.4
213,motor,0.1,20102,20240,335.033,337.333
214,motor,0.4,20332,20438,338.867,340.633
203,van,4.4,18312,20565,305.2,342.75
219,motor,1.0,21855,21879,364.25,364.65
217,van,29.1,21598,21919,359.967,365.317
220,van,36.6,21947,22017,365.783,366.95
222,truck,113.9,22039,22047,367.317,367.45
218,car,25.9,21741,22065,362.35,367.75
224,motor,0.4,22164,22202,369.4,370.033
221,van,31.6,22001,22244,366.683,370.733
223,car,35.2,22108,22418,368.467,373.633
227,motor,51.2,22380,22458,373.0,374.3
225,van,25.7,22258,22515,370.967,375.25
228,bus,9.5,22418,22516,373.633,375.267
226,tricycle,7.5,22302,22546,371.7,375.767
229,motor,52.8,22468,22582,374.467,376.367
231,truck,88.4,22606,22647,376.767,377.45
230,truck,27.7,22600,22665,376.667,377.75
232,motor,0.5,22662,22678,377.7,377.967
234,car,22.3,22692,22814,378.2,380.233
233,truck,28.1,22688,22862,378.133,381.033
237,van,21.2,22874,22990,381.233,383.167
236,car,23.8,22844,23046,380.733,384.1
235,van,29.6,22788,23079,379.8,384.65
239,van,24.2,23059,23169,384.317,386.15
238,car,22.0,23032,23247,383.867,387.45
242,bus,33.1,23297,23308,388.283,388.467
240,car,23.4,23202,23399,386.7,389.983
243,van,31.4,23399,23474,389.983,391.233
241,bus,32.8,23231,23529,387.183,392.15
246,motor,33.9,23511,23575,391.85,392.917
245,car,29.8,23503,23659,391.717,394.317
232,motor,0.5,22727,22794,378.783,379.9
248,motor,47.3,23571,23753,392.85,395.883
244,car,27.2,23423,23757,390.383,395.95
246,motor,32.3,23620,23761,393.667,396.017
251,car,1.0,23795,23801,396.583,396.683
250,pedestrian,4.7,23783,23817,396.383,396.95
247,van,26.2,23559,23873,392.65,397.883
254,pedestrian,8.3,24068,24104,401.133,401.733
255,pedestrian,4.7,24104,24110,401.733,401.833
256,pedestrian,3.6,24290,24306,404.833,405.1
258,motor,37.6,24684,24748,411.4,412.467
258,motor,33.1,24790,24942,413.167,415.7
258,motor,8.1,24977,24990,416.283,416.5
261,motor,27.6,24932,25018,415.533,416.967
264,pedestrian,4.7,25014,25022,416.9,417.033
252,tricycle,0.7,24037,24196,400.617,403.267
261,pedestrian,17.7,25076,25273,417.933,421.217
270,motor,5.0,25361,25393,422.683,423.217
269,pedestrian,12.2,25345,25399,422.417,423.317
272,motor,29.5,25501,25574,425.017,426.233
273,motor,0.1,25519,25577,425.317,426.283
274,van,22.2,25619,25727,426.983,428.783
277,tricycle,4.0,25739,25779,428.983,429.65
275,motor,16.1,25637,25831,427.283,430.517
262,motor,6.8,24940,25048,415.667,417.467
280,motor,4.4,25947,25971,432.45,432.85
263,tricycle,0.7,25008,25267,416.8,421.117
267,motor,0.4,25211,25475,420.183,424.583
