Minute;lane_id;n_vehicles;avg_speed_kmh
1;1;33;6,93
1;2;10;10,91
2;1;30;12,43
2;2;6;2,23
3;1;9;4,14
3;2;15;6,21
4;1;28;9,33
4;2;11;7,18
5;1;49;16,38
5;2;19;20,7
6;1;16;7,35
6;2;2;13,59
7;1;35;18,36
7;2;14;25,41
8;1;44;10,0
8;2;15;11,01
9;1;53;10,88
9;2;9;11,41
10;1;46;16,18
10;2;9;23,11
11;1;26;5,01
11;2;12;9,43
12;1;39;12,19
12;2;31;17,21
13;1;38;9,56
13;2;10;16,41
