Minute;lane_id;n_vehicles;avg_speed_kmh
1;1;1;8,05
2;1;4;9,25
3;1;1;3,92
4;1;4;6,12
5;1;5;11,59
6;1;6;4,37
7;1;5;33,82
8;1;2;5,87
9;1;3;7,55
10;1;6;17,33
11;1;11;7,21
12;1;1;8,34
13;1;0;4,44
