frame,time_s,vehicle_id,x_m,y_m,img_x,img_y,lane_id
934,15.567,1,1.156,24.146,502.0,607.4,1
935,15.583,1,1.084,23.853,505.3,605.4,1
936,15.6,1,1.084,23.853,505.3,605.4,1
937,15.617,1,1.102,23.65,507.9,604.6,1
938,15.633,1,1.103,23.651,507.8,604.7,1
939,15.65,1,1.122,23.308,512.0,603.3,1
940,15.667,1,1.123,23.308,512.0,603.3,1
941,15.683,1,1.094,23.117,514.3,602.1,1
942,15.7,1,1.094,23.117,514.2,602.1,1
943,15.717,1,1.099,22.877,517.2,601.1,1
944,15.733,1,1.098,22.878,517.1,601.1,1
945,15.75,1,1.099,22.634,520.1,600.0,1
946,15.767,1,1.099,22.634,520.1,600.0,1
947,15.783,1,1.038,22.385,522.9,598.3,1
948,15.8,1,1.038,22.385,522.9,598.3,1
949,15.817,1,1.102,22.124,526.2,597.8,1
950,15.833,1,1.102,22.124,526.2,597.8,1
951,15.85,1,1.129,21.899,529.0,597.0,1
952,15.867,1,1.129,21.899,529.0,597.0,1
953,15.883,1,1.102,21.743,530.8,596.0,1
954,15.9,1,1.102,21.743,530.8,596.0,1
955,15.917,1,1.09,21.452,534.3,594.6,1
956,15.933,1,1.09,21.452,534.3,594.6,1
957,15.95,1,1.063,21.167,537.6,593.1,1
958,15.967,1,1.063,21.168,537.6,593.1,1
959,15.983,1,1.067,20.956,540.2,592.1,1
960,16.0,1,1.066,20.955,540.2,592.1,1
961,16.017,1,1.073,20.756,542.6,591.3,1
962,16.033,1,1.073,20.754,542.6,591.3,1
963,16.05,1,1.028,20.48,545.7,589.6,1
964,16.067,1,1.028,20.48,545.7,589.6,1
965,16.083,1,1.078,20.217,549.1,588.9,1
966,16.1,1,1.078,20.217,549.0,588.9,1
967,16.117,1,1.066,20.105,550.4,588.3,1
968,16.133,1,1.066,20.104,550.4,588.3,1
969,16.15,1,1.058,19.78,554.2,586.8,1
970,16.167,1,1.057,19.78,554.2,586.8,1
971,16.183,1,1.091,19.574,556.8,586.2,1
972,16.2,1,1.091,19.574,556.8,586.2,1
973,16.217,1,1.101,19.321,559.9,585.2,1
974,16.233,1,1.101,19.321,559.9,585.2,1
975,16.25,1,1.105,19.064,562.9,584.0,1
976,16.267,1,1.106,19.065,562.9,584.1,1
977,16.283,1,1.032,18.878,564.9,582.5,1
978,16.3,1,1.032,18.878,564.9,582.5,1
979,16.317,1,1.006,18.68,567.2,581.3,1
980,16.333,1,1.007,18.68,567.2,581.3,1
981,16.35,1,1.025,18.402,570.6,580.3,1
982,16.367,1,1.025,18.402,570.6,580.3,1
983,16.383,1,1.058,18.209,573.0,579.7,1
984,16.4,1,1.059,18.21,573.0,579.7,1
985,16.417,1,1.077,18.074,574.7,579.3,1
986,16.433,1,1.077,18.074,574.7,579.3,1
987,16.45,1,1.032,17.829,577.5,577.8,1
988,16.467,1,1.032,17.829,577.5,577.8,1
989,16.483,1,1.092,17.576,580.7,577.3,1
990,16.5,1,1.093,17.575,580.7,577.3,1
991,16.517,1,1.103,17.388,582.9,576.5,1
992,16.533,1,1.103,17.388,582.9,576.5,1
993,16.55,1,1.091,17.124,586.1,575.2,1
994,16.567,1,1.091,17.122,586.1,575.2,1
995,16.583,1,1.097,16.865,589.2,574.1,1
996,16.6,1,1.096,16.866,589.2,574.1,1
997,16.617,1,1.117,16.695,591.3,573.6,1
998,16.633,1,1.117,16.694,591.3,573.6,1
999,16.65,1,1.144,16.477,593.9,572.9,1
1000,16.667,1,1.144,16.479,593.9,572.9,1
1001,16.683,1,1.212,16.274,596.6,572.7,1
1002,16.7,1,1.212,16.275,596.6,572.7,1
1003,16.717,1,1.146,16.038,599.2,571.0,1
1004,16.733,1,1.146,16.038,599.2,571.0,1
1005,16.75,1,1.077,15.853,601.1,569.4,1
1006,16.767,1,1.077,15.853,601.1,569.4,1
1007,16.783,1,1.088,15.625,603.9,568.5,1
1008,16.8,1,1.088,15.624,603.9,568.5,1
1009,16.817,1,1.113,15.385,606.8,567.7,1
1010,16.833,1,1.114,15.382,606.9,567.7,1
1011,16.85,1,1.071,15.152,609.4,566.2,1
1012,16.867,1,1.072,15.152,609.4,566.3,1
1013,16.883,1,1.128,14.97,611.8,566.0,1
1014,16.9,1,1.128,14.97,611.8,566.0,1
1015,16.917,1,1.128,14.771,614.2,565.1,1
1016,16.933,1,1.128,14.771,614.2,565.1,1
1017,16.95,1,1.136,14.547,616.8,564.2,1
1018,16.967,1,1.135,14.546,616.8,564.2,1
1019,16.983,1,1.151,14.278,620.1,563.2,1
1020,17.0,1,1.151,14.278,620.1,563.2,1
1021,17.017,1,1.158,14.163,621.5,562.8,1
1022,17.033,1,1.158,14.163,621.5,562.8,1
1023,17.05,1,1.048,13.961,623.5,560.7,1
1024,17.067,1,1.048,13.961,623.5,560.7,1
1025,17.083,1,1.055,13.79,625.5,560.0,1
1026,17.1,1,1.055,13.79,625.5,560.0,1
1027,17.117,1,1.084,13.577,628.2,559.4,1
1028,17.133,1,1.084,13.577,628.2,559.4,1
1029,17.15,1,1.081,13.371,630.6,558.5,1
1030,17.167,1,1.082,13.37,630.6,558.5,1
1031,17.183,1,1.167,13.16,633.4,558.4,1
1032,17.2,1,1.167,13.16,633.4,558.4,1
1033,17.217,1,1.174,12.981,635.5,557.7,1
1034,17.233,1,1.173,12.981,635.5,557.7,1
1035,17.25,1,1.208,12.814,637.6,557.3,1
1036,17.267,1,1.208,12.814,637.6,557.3,1
1037,17.283,1,1.182,12.631,639.7,556.2,1
1038,17.3,1,1.183,12.628,639.7,556.2,1
1039,17.317,1,1.225,12.425,642.2,555.8,1
1040,17.333,1,1.224,12.425,642.2,555.7,1
1041,17.35,1,1.214,12.226,644.6,554.8,1
1042,17.367,1,1.215,12.226,644.6,554.8,1
1043,17.383,1,1.165,12.109,645.8,553.7,1
1044,17.4,1,1.165,12.109,645.8,553.7,1
1045,17.417,1,1.16,11.982,647.3,553.1,1
1046,17.433,1,1.16,11.982,647.3,553.1,1
1047,17.45,1,1.231,10.301,667.3,546.4,1
1048,17.467,1,1.17,11.788,649.6,552.4,1
1049,17.483,1,1.149,11.646,651.2,551.5,1
1050,17.5,1,1.163,11.658,651.1,551.7,1
1051,17.517,1,1.14,11.505,652.8,550.8,1
1052,17.533,1,1.14,11.504,652.8,550.8,1
1053,17.55,1,1.112,11.262,655.6,549.5,1
1054,17.567,1,1.112,11.261,655.6,549.4,1
1055,17.583,1,1.131,11.168,656.8,549.2,1
1056,17.6,1,1.131,11.168,656.7,549.2,1
1057,17.617,1,1.089,11.039,658.1,548.2,1
1058,17.633,1,1.089,11.039,658.1,548.2,1
1059,17.65,1,1.107,10.871,660.2,547.7,1
1060,17.667,1,1.108,10.87,660.2,547.7,1
1061,17.683,1,1.178,10.669,662.8,547.5,1
1062,17.7,1,1.178,10.669,662.8,547.5,1
1063,17.717,1,1.232,10.482,665.2,547.2,1
1064,17.733,1,1.232,10.481,665.2,547.2,1
1065,17.75,1,1.174,11.643,651.3,551.8,1
1066,17.767,1,1.237,10.309,667.2,546.5,1
1067,17.783,1,1.273,10.179,668.9,546.3,1
1068,17.8,1,1.274,10.178,668.9,546.3,1
1069,17.817,1,1.248,10.085,669.9,545.7,1
1070,17.833,1,1.248,10.086,669.9,545.7,1
1071,17.85,1,1.193,9.848,672.5,544.1,1
1072,17.867,1,1.192,9.848,672.5,544.0,1
1073,17.883,1,1.256,9.701,674.4,544.1,1
1074,17.9,1,1.256,9.702,674.4,544.1,1
1075,17.917,1,1.261,9.62,675.4,543.7,1
1076,17.933,1,1.261,9.62,675.4,543.8,1
1077,17.95,1,1.212,9.499,676.7,542.7,1
1078,17.967,1,1.214,9.5,676.6,542.7,1
1079,17.983,1,1.247,9.377,678.2,542.5,1
1080,18.0,1,1.246,9.377,678.2,542.5,1
1081,18.017,1,1.226,9.285,679.2,541.9,1
1082,18.033,1,1.226,9.285,679.2,541.9,1
1083,18.05,1,1.205,9.151,680.7,541.1,1
1084,18.067,1,1.205,9.151,680.7,541.1,1
1085,18.083,1,1.221,9.028,682.2,540.7,1
