lane_id,p1_x,p1_y,p2_x,p2_y,p3_x,p3_y,p4_x,p4_y
1,1918,772,1191,592,1182,562,1918,742
2,1918,742,1184,562,1178,542,1918,720
3,1918,720,1176,540,1168,519,1918,696
4,1918,696,1168,518,1161,500,1918,672
5,1918,669,1162,500,1148,462,1918,627
