Minute;lane_id;n_vehicles;avg_speed_kmh
1;1;7;25,66
1;2;20;12,51
1;3;10;5,98
1;4;11;11,0
1;5;6;8,54
2;1;2;12,45
2;2;14;5,55
2;3;10;2,66
2;4;21;3,61
2;5;16;4,05
3;1;5;7,16
3;2;5;6,87
3;3;1;2,17
3;4;5;2,44
3;5;3;2,3
