Minute;lane_id;n_vehicles;avg_speed_kmh
1;1;12;12,51
1;2;4;25,2
1;3;4;43,2
1;4;2;20,63
1;5;8;5,97
2;1;4;4,46
2;2;7;6,09
2;3;8;5,51
2;4;8;7,28
2;5;9;3,48
3;1;1;2,37
3;2;2;2,5
3;3;6;4,38
3;4;6;3,21
3;5;9;6,58
