lane_id,p1_x,p1_y,p2_x,p2_y,p3_x,p3_y,p4_x,p4_y
1,183,338,718,450,706,471,165,352
2,705,471,692,488,152,366,164,354
3,692,489,680,508,134,381,148,368
4,676,510,666,525,120,396,132,381
5,118,399,664,528,644,555,84,429
