Minute;lane_id;n_vehicles;avg_speed_kmh
1;1;10;2,45
1;2;20;2,52
1;3;3;6,71
1;4;2;2,01
1;5;7;1,74
2;1;8;1,61
2;2;10;1,83
2;3;7;59,32
2;4;8;50,43
2;5;8;35,81
3;1;6;7,92
3;2;5;8,78
3;3;0;0,0
3;4;0;0,0
3;5;1;1,87
