frame,time_s,vehicle_id,x_m,y_m,img_x,img_y,lane_id
12,0.4,6,38.807,6.178,1041.1,726.5,2
12,0.4,7,10.053,21.22,1342.6,975.2,5
12,0.4,8,1.36,21.264,1395.6,1063.3,5
13,0.433,1,26.808,21.967,1263.8,829.4,5
13,0.433,3,25.447,16.852,1213.8,837.0,5
13,0.433,2,36.835,21.044,1209.0,753.4,5
13,0.433,5,36.84,16.801,1164.3,749.9,5
13,0.433,4,25.731,9.105,1124.1,829.6,3
13,0.433,6,38.817,6.135,1040.6,726.4,2
13,0.433,7,10.06,21.228,1342.7,975.1,5
13,0.433,8,1.37,21.228,1395.1,1063.2,5
14,0.467,1,26.817,21.97,1263.8,829.3,5
14,0.467,3,25.461,16.854,1213.8,836.9,5
14,0.467,2,36.846,21.053,1209.0,753.3,5
14,0.467,5,36.846,16.801,1164.2,749.8,5
14,0.467,6,38.818,6.124,1040.5,726.4,2
14,0.467,7,10.06,21.229,1342.7,975.1,5
14,0.467,8,1.369,21.215,1394.9,1063.2,5
14,0.467,4,25.788,9.099,1123.8,829.1,3
15,0.5,1,26.831,21.981,1263.8,829.2,5
15,0.5,2,36.856,21.054,1209.0,753.2,5
15,0.5,3,25.469,16.856,1213.7,836.8,5
15,0.5,5,36.848,16.803,1164.2,749.8,5
15,0.5,7,10.06,21.219,1342.6,975.1,5
15,0.5,6,38.828,6.131,1040.5,726.3,2
15,0.5,8,1.365,21.246,1395.3,1063.3,5
15,0.5,4,25.791,9.102,1123.8,829.1,3
16,0.533,2,36.858,21.046,1208.9,753.2,5
16,0.533,1,26.792,21.965,1263.8,829.5,5
16,0.533,7,10.051,21.185,1342.2,975.2,5
16,0.533,6,38.814,6.088,1040.1,726.4,2
16,0.533,5,36.806,16.777,1164.1,750.1,5
16,0.533,3,25.504,16.834,1213.3,836.5,5
16,0.533,8,1.37,21.194,1394.6,1063.2,5
16,0.533,4,25.832,9.068,1123.2,828.7,3
17,0.567,2,36.856,21.046,1208.9,753.2,5
17,0.567,7,10.05,21.185,1342.2,975.2,5
17,0.567,5,36.803,16.776,1164.1,750.1,5
17,0.567,6,38.814,6.091,1040.1,726.4,2
17,0.567,3,25.553,16.841,1213.2,836.1,5
17,0.567,1,26.786,21.965,1263.8,829.6,5
17,0.567,4,25.934,9.083,1123.0,827.9,3
17,0.567,8,1.37,21.194,1394.6,1063.2,5
18,0.6,2,36.864,21.055,1209.0,753.2,5
18,0.6,1,26.782,21.94,1263.6,829.6,5
18,0.6,5,36.808,16.773,1164.1,750.1,5
18,0.6,6,38.799,6.087,1040.1,726.5,2
18,0.6,3,25.612,16.842,1212.9,835.7,5
18,0.6,7,10.058,21.186,1342.2,975.1,5
18,0.6,4,26.055,9.081,1122.5,826.9,3
18,0.6,8,1.375,21.198,1394.7,1063.2,5
19,0.633,2,36.859,21.052,1209.0,753.2,5
19,0.633,1,26.801,21.955,1263.7,829.5,5
19,0.633,3,25.711,16.858,1212.7,834.9,5
19,0.633,5,36.809,16.77,1164.0,750.1,5
19,0.633,6,38.795,6.085,1040.1,726.5,2
19,0.633,7,10.073,21.198,1342.3,975.0,5
19,0.633,4,26.177,9.129,1122.5,825.9,3
19,0.633,8,1.375,21.192,1394.6,1063.2,5
20,0.667,2,36.859,21.052,1209.0,753.2,5
20,0.667,1,26.8,21.955,1263.7,829.5,5
20,0.667,3,25.71,16.858,1212.7,834.9,5
20,0.667,5,36.808,16.77,1164.1,750.1,5
20,0.667,6,38.793,6.083,1040.1,726.6,2
20,0.667,7,10.067,21.202,1342.3,975.1,5
20,0.667,4,26.176,9.134,1122.6,825.9,3
20,0.667,8,1.373,21.191,1394.6,1063.2,5
21,0.7,3,25.81,16.843,1212.0,834.1,5
21,0.7,2,36.846,21.054,1209.0,753.3,5
21,0.7,5,36.824,16.775,1164.0,749.9,5
21,0.7,6,38.786,6.086,1040.2,726.6,2
21,0.7,1,26.803,21.94,1263.5,829.4,5
21,0.7,4,26.217,9.103,1122.0,825.5,3
21,0.7,7,10.088,21.197,1342.2,974.9,5
21,0.7,8,1.371,21.185,1394.5,1063.2,5
22,0.733,3,25.818,16.841,1212.0,834.0,5
22,0.733,2,36.84,21.052,1209.1,753.3,5
22,0.733,1,26.809,21.942,1263.5,829.4,5
22,0.733,5,36.821,16.773,1164.0,750.0,5
22,0.733,6,38.786,6.092,1040.2,726.6,2
22,0.733,4,26.281,9.117,1121.9,825.0,3
22,0.733,7,10.078,21.223,1342.5,975.0,5
22,0.733,8,1.375,21.183,1394.5,1063.2,5
23,0.767,3,25.884,16.856,1211.8,833.5,5
23,0.767,2,36.848,21.058,1209.1,753.3,5
23,0.767,5,36.84,16.786,1164.1,749.8,5
23,0.767,6,38.8,6.103,1040.3,726.5,2
23,0.767,1,26.802,21.933,1263.4,829.4,5
23,0.767,7,10.079,21.222,1342.5,974.9,5
23,0.767,8,1.375,21.183,1394.5,1063.2,5
23,0.767,4,26.359,9.093,1121.3,824.4,3
24,0.8,3,25.961,16.863,1211.6,832.8,5
24,0.8,2,36.848,21.058,1209.1,753.3,5
24,0.8,1,26.808,21.943,1263.5,829.4,5
24,0.8,5,36.843,16.784,1164.1,749.8,5
24,0.8,6,38.798,6.098,1040.2,726.5,2
24,0.8,7,10.103,21.208,1342.2,974.7,5
24,0.8,4,26.386,9.084,1121.1,824.1,3
24,0.8,8,1.375,21.18,1394.4,1063.2,5
25,0.833,3,25.961,16.869,1211.7,832.8,5
25,0.833,2,36.86,21.076,1209.2,753.2,5
25,0.833,1,26.87,21.972,1263.5,828.9,5
25,0.833,5,36.853,16.772,1163.9,749.7,5
25,0.833,6,38.806,6.091,1040.1,726.5,2
25,0.833,7,10.104,21.208,1342.2,974.7,5
25,0.833,4,26.386,9.084,1121.1,824.2,3
25,0.833,8,1.387,21.182,1394.4,1063.0,5
26,0.867,3,25.968,16.893,1211.9,832.8,5
26,0.867,2,36.852,21.071,1209.2,753.3,5
26,0.867,1,26.865,21.963,1263.5,829.0,5
26,0.867,5,36.886,16.791,1164.0,749.5,5
26,0.867,6,38.84,6.061,1039.7,726.2,2
26,0.867,4,26.507,9.125,1121.1,823.2,3
26,0.867,7,10.106,21.231,1342.4,974.7,5
26,0.867,8,1.384,21.183,1394.4,1063.1,5
27,0.9,3,26.024,16.886,1211.5,832.3,5
27,0.9,2,36.859,21.071,1209.2,753.2,5
27,0.9,5,36.899,16.78,1163.8,749.4,5
27,0.9,6,38.833,6.038,1039.4,726.2,2
27,0.9,7,10.104,21.209,1342.2,974.7,5
27,0.9,4,26.557,9.113,1120.7,822.8,3
27,0.9,1,26.869,21.956,1263.4,828.9,5
27,0.9,8,1.385,21.187,1394.5,1063.1,5
28,0.933,3,26.064,16.894,1211.5,832.0,5
28,0.933,2,36.868,21.068,1209.1,753.1,5
28,0.933,5,36.897,16.784,1163.8,749.4,5
28,0.933,6,38.836,6.051,1039.6,726.2,2
28,0.933,7,10.106,21.204,1342.1,974.7,5
28,0.933,4,26.692,9.136,1120.5,821.7,3
28,0.933,1,26.861,21.949,1263.3,829.0,5
28,0.933,8,1.391,21.234,1395.0,1063.0,5
28,0.933,9,2.239,8.336,1226.6,1053.0,2
29,0.966,3,26.097,16.884,1211.2,831.8,5
29,0.966,2,36.87,21.067,1209.1,753.1,5
29,0.966,5,36.901,16.781,1163.8,749.4,5
29,0.966,6,38.839,6.044,1039.5,726.2,2
29,0.966,7,10.107,21.227,1342.4,974.7,5
29,0.966,4,26.757,9.152,1120.4,821.2,3
29,0.966,1,26.871,21.951,1263.3,828.9,5
29,0.966,8,1.391,21.233,1395.0,1063.0,5
29,0.966,9,2.246,8.338,1226.6,1052.9,2
30,1.0,1,27.075,22.036,1263.2,827.3,5
30,1.0,3,26.129,16.848,1210.6,831.5,5
30,1.0,2,36.866,21.081,1209.2,753.2,5
30,1.0,5,36.855,16.748,1163.6,749.7,5
30,1.0,6,38.916,6.127,1040.2,725.7,2
30,1.0,4,26.751,9.162,1120.5,821.2,3
30,1.0,7,10.106,21.185,1341.9,974.7,5
30,1.0,8,1.42,21.192,1394.3,1062.7,5
31,1.033,1,27.073,22.037,1263.3,827.4,5
31,1.033,3,26.194,16.862,1210.5,831.0,5
31,1.033,2,36.865,21.081,1209.3,753.2,5
31,1.033,5,36.855,16.748,1163.6,749.7,5
31,1.033,6,38.917,6.127,1040.2,725.7,2
31,1.033,4,26.847,9.18,1120.3,820.5,3
31,1.033,7,10.093,21.176,1341.9,974.8,5
31,1.033,8,1.425,21.195,1394.3,1062.6,5
32,1.066,1,27.069,22.033,1263.2,827.4,5
32,1.066,3,26.24,16.865,1210.3,830.6,5
32,1.066,2,36.871,21.079,1209.2,753.1,5
32,1.066,5,36.852,16.746,1163.6,749.7,5
32,1.066,6,38.919,6.113,1040.0,725.7,2
32,1.066,4,26.929,9.184,1120.0,819.8,3
32,1.066,7,10.109,21.183,1341.9,974.6,5
32,1.066,8,1.416,21.18,1394.2,1062.7,5
33,1.1,1,27.092,22.027,1263.1,827.2,5
33,1.1,3,26.265,16.883,1210.4,830.4,5
33,1.1,2,36.879,21.081,1209.2,753.1,5
33,1.1,5,36.851,16.748,1163.6,749.7,5
33,1.1,6,38.923,6.126,1040.1,725.7,2
33,1.1,7,10.114,21.183,1341.8,974.6,5
33,1.1,4,26.974,9.163,1119.6,819.4,3
33,1.1,8,1.417,21.181,1394.2,1062.7,5
34,1.133,1,27.106,22.035,1263.1,827.1,5
34,1.133,3,26.345,16.88,1210.0,829.8,5
34,1.133,2,36.925,21.097,1209.2,752.8,5
34,1.133,5,36.859,16.755,1163.7,749.7,5
34,1.133,6,38.914,6.101,1039.9,725.7,2
34,1.133,7,10.125,21.189,1341.9,974.5,5
34,1.133,4,27.046,9.16,1119.3,818.8,3
34,1.133,8,1.418,21.178,1394.1,1062.7,5
35,1.166,1,27.088,22.023,1263.0,827.2,5
35,1.166,3,26.348,16.883,1210.0,829.7,5
35,1.166,2,36.924,21.096,1209.2,752.8,5
35,1.166,5,36.86,16.744,1163.6,749.7,5
35,1.166,6,38.911,6.096,1039.8,725.7,2
35,1.166,7,10.131,21.195,1341.9,974.4,5
35,1.166,4,27.044,9.158,1119.3,818.8,3
35,1.166,8,1.418,21.178,1394.1,1062.7,5
36,1.2,1,27.097,22.025,1263.0,827.2,5
36,1.2,3,26.341,16.879,1210.0,829.8,5
36,1.2,2,36.933,21.079,1208.9,752.7,5
36,1.2,5,36.86,16.744,1163.6,749.7,5
36,1.2,6,38.91,6.096,1039.8,725.7,2
36,1.2,7,10.129,21.194,1341.9,974.5,5
36,1.2,4,27.079,9.14,1118.9,818.5,3
