lane_id,p1_x,p1_y,p2_x,p2_y,p3_x,p3_y,p4_x,p4_y
1,1010,705,1190,1078,1125,1078,964,702
2,1244,1078,1192,1078,1012,705,1054,711
3,1290,1078,1246,1078,1058,710,1095,714
4,1338,1078,1293,1078,1096,712,1132,716
5,1442,1078,1340,1078,1137,716,1222,726
